商品名,item_id,価格USD,人気度rank,primary_market,区分,出品国,根拠
Leica DISTO S910 Laser Distance Measure Package Excellent Used Condition,358068363163,890.0,D,global_only,優先国,DE,DE:1
YOKOGAWA 2553 DC Standard Voltage Current Generator Tested from Japan,358638711655,890.0,E,unknown,出さない,,非US実績なし
FUJI ELECTRIC FSCS10A1-00J PORTAFLOW-C Ultrasonic Flow Meter Used Japan,357915942201,889.0,C,mixed_global,優先国,"FR,DE",FR:2 DE:2
"OMRON NS8-TV01B-V2 HMI Touchscreen Operator Panel 8.4"" Display New from Japan",358485950477,875.31,C,mixed_global,優先国,"AU,DE",AU:1 DE:1
DENSO DST-i Scan Tool Diagnostic Tester Main Unit DN-VIM-003 Used Tested Japan,357671004068,860.0,B,US_only,出さない,,非US実績なし
Daishowa Seiki BIG KAISER EWN100-203CKB6 Boring Head x2 Set Used Japan,358003801388,850.0,D,unknown,出さない,,非US実績なし
ADVANTEST ADCMT 6243 DC Voltage Current Source 5.5 Digit GPIB Tested Working,358027647403,850.0,C,unknown,優先国,DE,DE:2
Designed By Apple In California Book Size Small 32.5×26.5cm Very Good Used,358335045646,830.0,D,US_only,優先国,"DE,IT",DE:3 IT:1
KEYENCE SR-G100 Handheld Code Reader New Unused in Original Box Japan,358577945637,829.68,C,unknown,出さない,,非US実績なし
AOR AR-DV10 Digital & Analog Wideband Receiver 100kHz–1300MHz Tested Japan,358577943799,810.89,E,mixed_global,出さない,,非US実績なし
SONY NW-WM1AM2 128GB Hi-Res Digital Audio Player Black Tested Working from Japan,357038481083,810.0,A,mixed_global,優先国,"DE,CA",DE:27 CA:16
HITACHI L700-185LFF-0R Inverter Drive Removed From The Working Machine,358147979341,800.0,E,unknown,出さない,,非US実績なし
Beckman Coulter MET ONE HHPC 2+ Handheld Airborne Particle Counter Used Japan,358124436169,799.5,E,mixed_global,出さない,,非US実績なし
FOSTEX R100T Attenuator Transformer Pair 100W Tested Excellent from Japan,358228925781,798.0,C,global_only,優先国,"DE,FR",DE:3 FR:1
Pioneer RD-150 Lonesome Carboy Power Level Indicator Car Audio  Tested Working,358130124709,798.0,D,unknown,出さない,,非US実績なし
HP 53181A RF Frequency Counter Tested w/ Calibration Report & Accessories Japan,358166299970,798.0,D,unknown,出さない,,非US実績なし
Anritsu MG3700A Vector Signal Generator 250kHz-3GHz Opt.02 21 As-Is Parts,358505495649,790.0,C,unknown,出さない,,非US実績なし
ADVANTEST R8340 Ultra High Resistance Meter For Parts / Junk fro Japan,357955957594,780.0,D,unknown,出さない,,非US実績なし
ADVANTEST R6243 DC Voltage Current Source/Monitor Precision Power Supply Unit,358274830101,780.0,B,global_only,優先国,DE,DE:3
KEYENCE SR-X100 Barcode Reader 2024 Made in Japan NEW Unused From Japan,358537336894,770.0,E,global_only,出さない,,非US実績なし
Audio-Technica ATH-EM700Ti Titanium Clip-On Headphones Limited Edition Tested,357866939096,759.0,E,unknown,出さない,,非US実績なし
Marantz PM8006 Integrated Amplifier Stereo Amp Tested Working Used from Japan,358333799417,758.0,B,mixed_global,優先国,CA,CA:1
YOKOGAWA AQ7275 OTDR Optical Time Domain Reflectometer 1310/1550/1625nm Used,358293889396,750.0,C,global_only,優先国,"DE,AU",DE:7 AU:1
Pioneer RD-150 Double Bass Reflex Speaker System Very Good  Unused Gray Fabric,358505733121,730.0,D,unknown,出さない,,非US実績なし
Mitutoyo SJ-210 Surftest Surface Roughness Tester Main Unit Tested Used Japan,357482451887,720.0,B,mixed_global,優先国,"AU,CA",AU:4 CA:4
Fostex Transformer Attenuator R100T2 High-Quality Audio Control NEW Japan,357383352429,720.0,A,US_only,優先国,"FR,DE",FR:1 DE:1
Keysight E3633A DC Power Supply 0-8V/20A 0-20V/10A Tested Very Good from Japan,357629465357,699.98,C,mixed_global,優先国,DE,DE:1
Mitutoyo KA-212 Counter for Linear Scale 174-183 (KA-200 Counter ) – New,357039030883,699.98,D,unknown,優先国,DE,DE:1
GE Panametrics TransPort PT878 Portable Ultrasonic Liquid Flow Meter As Is Japan,358042514439,699.0,E,unknown,出さない,,非US実績なし
TRAVELER'S notebook Limited Set TRAVELER'S DINER NEW from Japan,356645660235,698.0,S,US_only,優先国,"AU,UK",AU:2 UK:2
ADVANTEST TR5823H Universal Counter Frequency Counter Main Unit Only Used,358126280037,698.0,E,unknown,出さない,,非US実績なし
OLYMPUS IMH-10 Video Recorder Used from Japan,357960003550,698.0,E,unknown,出さない,,非US実績なし
ADVANTEST R3131A 9kHz-3GHz Spectrum Analyzer Tested AS IS from Japan,358281617371,698.0,D,unknown,優先国,DE,DE:1
"Mitsubishi GT2508-VTBD HMI Touch Panel 8.4"" 2023 GT25 Series New from Japan",358534185126,698.0,E,unknown,出さない,,非US実績なし
YOKOGAWA 7651-01 Programmable DC Voltage Current Source ±32V 120mA GPIB Tested,358642595370,698.0,E,unknown,出さない,,非US実績なし
KEYENCE FD-H32 Sensor Complete Set OP-88076 Cable Included NEW from Japan,358653964033,698.0,E,mixed_global,出さない,,非US実績なし
HILTI TE76-ATC Rotary Hammer Drill TE76 SDS-Max Concrete Drill Used from Japan,358037070222,690.0,E,unknown,出さない,,非US実績なし
Mitsubishi Uni color 240 50th anniversary Color Pencil 5000 Limited Edition NEW,357859072999,690.0,B,mixed_global,優先国,"DE,AU",DE:3 AU:1
Agilent N2795A Single-ended Active Probes DC-1GHz AutoProbe Interface Used,358223832012,689.0,E,global_only,優先国,UK,UK:3
HIOKI 8972 DC/RMS Unit 2ch Isolated Input Data Recorder Module Tested,358614835035,684.0,E,unknown,出さない,,非US実績なし
Daishowa Seiki Big Kaiser EWN100-203CKB6 Boring Head New from Japan,358003785382,680.0,E,unknown,出さない,,非US実績なし
Kikkoman Lumitester Smart Hygiene Monitoring ATP Tester New from Japan,358337936945,680.0,E,global_only,優先国,"DE,AU",DE:11 AU:3
Pioneer BDR-XD08MB-S External Blu-ray Drive USB 3.0 w/ AC Adapter DCA-003 New,358130087298,680.0,E,mixed_global,優先国,"DE,AU",DE:3 AU:1
YOKOGAWA DL1740E Digital Oscilloscope 500MHz 1GS/s Tested Initialized Japan,357925182893,680.0,C,global_only,優先国,"DE,FR",DE:2 FR:1
Agilent 4338B Milliohmmeter Power On Display Confirmed from Japan,357646672274,680.0,E,unknown,出さない,,非US実績なし
Advantest R6145 Voltage Current Source Calibrated w/ Report & Accessories Tested,358165318399,680.0,E,unknown,優先国,DE,DE:1
EIMAC 3CX1200A7 Power Triode Vacuum Tube Tested Working Used from Japan,358062208935,680.0,C,unknown,出さない,,非US実績なし
Kikkoman Lumitester PD-30 ATP Hygiene Monitoring System Kit New,358278773058,680.0,E,global_only,優先国,DE,DE:3
"Anritsu MG3632A Synthesized Signal Generator, 100KHz-2080MHz Used JP AS IS",358003743158,680.0,E,unknown,出さない,,非US実績なし
Fryer Guitars MAYDAY Overdrive Distortion Preamp Pedal for AC30 AC15 Used Japan,357371421703,678.0,E,unknown,出さない,,非US実績なし
Omron NS5-SQ11B-V2 Programmable Terminal HMI Touch Panel Unused Japan,358638712658,670.98,E,global_only,出さない,,非US実績なし
KEYENCE IV3-G500CA VISION SENSOR HEAD IV3G500CA IN STORAGE form Japan NEW,358646780360,669.99,D,mixed_global,出さない,,非US実績なし
KEITHLEY 2000 Digital Multimeter 6.5 Digit Bench DMM Tested Working Japan,358371068809,658.0,E,mixed_global,優先国,DE,DE:1
Marantz NR1711 8K 7.2 Channel Ultra HD AV Receiver W/Box Tested Japan Used F/S,358333826811,648.0,E,mixed_global,優先国,"CA,IT",CA:2 IT:1
Pioneer Lonesome Car-Boy KP-707G  CD-5  GM-4 x2 Maintained Tested from Japan,356776795931,645.0,A,mixed_global,出さない,,非US実績なし
Anritsu MF1603A Frequency Counter 0.1mHz–3GHz OCXO GPIB External 10MHz Tested,358139740232,630.0,E,unknown,出さない,,非US実績なし
ADCMT Advantest 7461A 6.5 6½ Digit Digital Multimeter Bench Top USB GPIB Used,358467370861,630.0,D,unknown,優先国,DE,DE:2
SONY WALKMAN NW-ZX707 Hi-Res Digital Audio Player NEW from Japan Open Box,356968197905,627.0,B,mixed_global,優先国,"CA,DE",CA:18 DE:16
Keyence CA-LMHE20 Telecentric Macro Lens 21MP High Resolution from Japan,356742447708,608.25,C,unknown,出さない,,非US実績なし
KEYENCE MK-P4 Touch Panel Console Used Working Pull Japan,358027482174,600.0,E,US_only,出さない,,非US実績なし
Juergen Teller Marc Jacobs Advertising 1998-2009 Brand New from Japan,357435093266,598.0,C,mixed_global,優先国,ES,ES:1
Tektronix TDS2024B Digital Oscilloscope 200MHz 2GS/s 4CH 4 Probes Tested Japan,358227640685,598.0,E,unknown,出さない,,非US実績なし
TANGO FW-20S Hi-Fi Output Transformer Set of 2 LCR Tested from Japan,357963553298,598.0,A,mixed_global,優先国,"DE,IT",DE:6 IT:2
Japanese Sushi Shari Rice Warmer 5-go NETSUKEN Ever Hot Takumi NS-21N  AC100V,357907189869,598.0,C,unknown,出さない,,非US実績なし
FUJI AC Servo Amplifier RYS401S3-LSS 200-230V 400W Servo Drive Open Box Japan,358610772993,598.0,E,unknown,出さない,,非US実績なし
Sony Walkman NW-S764K Hatsune Miku 5th Anniversary Edition New Unused from Japan,357322935750,590.0,S,US_only,優先国,"FR,DE",FR:1 DE:1
Keysight E36103A DC Power Supply 20V 2A Tested Used from Japan,358577944864,589.99,E,unknown,出さない,,非US実績なし
Enerpac FSH-14 Hydraulic Flange Spreader Separator Tool USED Used As-Is Japan,358150456850,589.0,E,unknown,出さない,,非US実績なし
Agilent HP Keysight 34970A Data Acquisition Switch Unit Data Logger Tested Japan,358100360553,580.0,E,US_only,優先国,"CA,DE",CA:1 DE:1
Pentax R-306Nc Total Station Surveying Instrument Survey Equipment For Parts,358310988362,580.0,E,unknown,出さない,,非US実績なし
Yaskawa SGMJV-01ADA21 AC Servo Motor w/ SGDV-R90A01B SERVOPACK 200V Used Japan,358321209729,580.0,E,unknown,出さない,,非US実績なし
EIMAC 3CX1200D7 Power Triode Vacuum Tube – Tested Used Condition,358068589135,580.0,E,unknown,出さない,,非US実績なし
TEXIO FGX-295 Arbitrary Waveform  Function Generator 50MHz Tested from Japan,358173678265,580.0,E,unknown,出さない,,非US実績なし
GWINSTEK GDM-8261A 6.5 Digit Dual Display Digital Multimeter Rare Near Mint,357979977777,580.0,D,unknown,出さない,,非US実績なし
Cear Pavé 3D Sound Bluetooth Speaker Compact Cube Cear Pave Black Japan NEW,358150301744,580.0,E,unknown,出さない,,非US実績なし
Cear Pavé 3D Sound Bluetooth Speaker Compact Cube Cear Pave White Japan NEW,358150304580,580.0,E,unknown,出さない,,非US実績なし
AMADA DIGIPRO Digital Protractor Bending Angle Measuring Machine Tested W/ Case,358403831980,580.0,E,mixed_global,優先国,"DE,CA",DE:3 CA:1
Tektronix TDS 3034B 4-Ch Color Digital Phosphor Oscilloscope 300MHz R3414,358207286305,580.0,E,unknown,優先国,IT,IT:1
Agilent 87104D 40GHz SP4T COAXIAL Multi-port Electromechanical Coaxial Switch,358642595788,580.0,E,unknown,出さない,,非US実績なし
MSI MPG GUNGNIR 110R EVA e-PROJECT Evangelion Gaming PC Case Limited Edition New,358188230961,578.0,C,US_only,優先国,CA,CA:1
KEYENCE FD-H32 Clamp-On Flow Sensor Standard Model Brand New Japan,357320806290,572.0,C,global_only,優先国,"DE,FR",DE:13 FR:3
GRAPHTEC GL840 Midi LOGGER Data Logger Tested Working Good Condition Japan,358342452369,570.0,D,mixed_global,優先国,"FR,DE",FR:3 DE:1
KEYENCE NR-500 Interface Unit Multi-input Data Logger New from Japan,358638712305,568.0,E,unknown,出さない,,非US実績なし
ADVANTEST R6871E-DC DIGITAL MULTIMETER working From Japan,357251084663,565.7,C,global_only,優先国,DE,DE:4
Razer Core X Chroma RC21-01430100-R3K1 External GPU eGPU Thunderbolt 3 NEW,356988395461,560.0,S,mixed_global,全国,"UK,DE,FR,IT,ES,AU,CA",rankS+mixed_global(国際需要あり)
EMC Model 211 Vacuum Tube Checker Serviced Fully Working With Power Cable,357967368606,550.0,E,unknown,出さない,,非US実績なし
KEYENCE IV-G500CA Vision Sensor Head with Built-in Light OP-87904 Unused Japan,358541082129,550.0,E,unknown,出さない,,非US実績なし
GRAPHTEC GL240 Midi LOGGER Data Logger Tested Working Used from Japan,358626622587,540.0,E,global_only,出さない,,非US実績なし
Graphtec GL220 Midi Data Logger Memory Recorder Portable Device Tested Japan,358124480924,530.0,C,global_only,出さない,,非US実績なし
KOWA TSN-1 77-P Spotting Scope Telescope 20x 40x 60x w/Eyepieces from Japan,358274785765,500.0,E,unknown,出さない,,非US実績なし
Pro-Face GP-4301T Touch Panel PFXGP4301TAD Terminal Operator NEW from JPN,358526486368,499.5,E,global_only,優先国,"CA,ES",CA:1 ES:1
KEITHLEY 6485 Picoammeter For Parts or Repair As-Is from Japan,358351999087,498.0,C,mixed_global,優先国,DE,DE:1
ADVANTEST ADCMT R6240A DC Voltage Current Source Monitor A15 Tested Used from JP,356946986519,498.0,S,global_only,全国,"UK,DE,FR,IT,ES,AU,CA",rankS+global_only(国際需要あり)
Nikon Fluor ELWD 40x/0.85 160/0.11–0.23 Microscope Objective Excellent from JPN,357940855637,498.0,D,unknown,出さない,,非US実績なし
Pioneer GEX-8 Lonesome Cowboy AM/FM Tuner Tested Working Fair Condition Japan,358653831185,498.0,E,mixed_global,出さない,,非US実績なし
ADVANTEST R5361A Frequency Counter 1GHz Tested Working from Japan,358074560624,494.98,D,unknown,出さない,,非US実績なし
MITSUBISHI GT2510-VTBD-040 Touch Screen Display Panel  from Japan,358337803164,490.0,E,unknown,出さない,,非US実績なし
LECROY HFP3500 Active Probe 3.5GHz 0.7pF 100kΩ 40Vpk Tested Working Used,358099459585,489.0,D,unknown,出さない,,非US実績なし
OKUMA BLIV-D7575A SERVO DRIVE Removed Used Tested from Japan,358541081287,485.0,E,global_only,出さない,,非US実績なし
ATORCH DLB-600W 600W Electronic Load 0-200V 40A Bluetooth New Working Japan,358331166129,480.0,D,unknown,出さない,,非US実績なし
Agilent 53131A Universal Counter Frequency Counter Main Unit Only Tested,357397734958,480.0,C,mixed_global,優先国,DE,DE:2
Yokogawa DL1740 Digital Oscilloscope 500MHz 1GS/s 701710-M-J1/B5/E2/C10,358502738458,480.0,D,unknown,優先国,DE,DE:1
SHARP PC-G850VS Pocket Computer Brand New Unused from Japan,357839289258,480.0,C,mixed_global,優先国,"DE,IT",DE:31 IT:10
ADVANTEST TR5822 Universal Counter Tested Powers On As-Is For Parts Repair,358606535608,480.0,E,unknown,出さない,,非US実績なし
HIOKI MR8902 Voltage Temp Unit for MR8875 Memory HiCorder Calibrated from Japan,358646778538,475.0,E,unknown,出さない,,非US実績なし
ADVANTEST R6144 Programmable DC Voltage/Current Generator Precision Power Supply,358013924836,458.0,C,global_only,優先国,"DE,FR",DE:7 FR:2
Keysight HP Agilent 34401A 6.5 Digit Digital Multimeter Tested Calibrated Japan,358162739239,458.0,E,US_only,優先国,"DE,CA",DE:27 CA:4
KEYENCE LJ-V7060 High-Speed Inline Profile Measurement Sensor Head Tested,358468752219,458.0,E,unknown,出さない,,非US実績なし
entre ET-100 MC Step-Up Transformer Audio Hi-Fi Phono Booster Tested Japan Used,358342224526,454.0,D,mixed_global,優先国,"DE,CA",DE:8 CA:2
HEREND BABY BEAR SITTING FISHNET BLUE & RED SET USED Excellent Condition from JP,358003933002,450.0,D,unknown,出さない,,非US実績なし
SICK NanoScan3Pro NANS3-CAAZ30AN1 Laser Scanner Barely Used Japan,357915780078,450.0,E,mixed_global,優先国,DE,DE:1
Keyence GC-1000R Main Safety Controller Relay Output Type 24VDC NEW,357320912425,448.99,C,unknown,出さない,,非US実績なし
Tektronix TDS2024 Digital Storage Oscilloscope 4ch 200MHz 2GS/s Tested Used,357469680453,430.0,B,unknown,出さない,,非US実績なし
For sun65218 AGILENT E1709A REMOTE HIGH PERFORMANCE RECEIVER Set of 2 pcs Used,358192747247,429.0,C,unknown,出さない,,非US実績なし
Keyence CA-H2100M Monochrome Industrial Camera Tested from Japan,358577944167,420.0,E,unknown,出さない,,非US実績なし
Mitsubishi MDS-C1-CV-110 CNC Power Supply Unit Servo Drive Tested from Japan,358650670430,409.0,E,unknown,出さない,,非US実績なし
Genuine Leica Single Prism Set GPR121 + GZR103 + GDF121 with Soft Case Tested,357142382700,398.58,S,mixed_global,全国,"UK,DE,FR,IT,ES,AU,CA",rankS+mixed_global(国際需要あり)
Razer THX Onyx Portable DAC Headphone Amplifier NEW from Japan,357710652709,398.0,B,US_only,出さない,,非US実績なし
Pioneer GEX-91 Lonesome Car-Boy Car Radio Tuner Tested Working Vintage Japan,358096209294,398.0,C,global_only,優先国,"DE,UK",DE:2 UK:1
ADVANTEST R6142 Programmable DC Voltage And Current Generator Tested from Japan,357250871703,398.0,A,mixed_global,優先国,"DE,AU",DE:8 AU:3
Agilent 33120A Rare 15MHz Function / Arbitrary Waveform Generator Opt.001,358100445011,398.0,C,global_only,優先国,"DE,IT",DE:2 IT:1
AOR AR-3000A Wideband All-Mode Receiver 0.1–2036MHz WFM AM USB LSB CW Tested,358207319749,398.0,D,global_only,優先国,"IT,AU",IT:1 AU:1
Tektronix TBS1052B Digital Oscilloscope 50MHz 2CH Tested Working Main Unit Only,358212417187,398.0,D,unknown,優先国,DE,DE:1
KIKUSUI PLZ153W DC Electronic Load 1.5-120V / 0-30A 150W Tested Working From JP,358394558378,398.0,D,unknown,出さない,,非US実績なし
Pioneer GEX-61 Lonesome Carboy Digital Tuner Vintage Car Audio Tested Working,357700354212,398.0,A,global_only,優先国,"DE,ES",DE:1 ES:1
HRS DF11-TA2428HC & AMP 720590-1 Crimping Tool Set 2pcs Used from Japan,358285395539,398.0,E,unknown,出さない,,非US実績なし
Joichi Hoshi Catalogue Of All Tree Woodblock Prints 1970-1979 from Japan,358541081682,398.0,D,unknown,出さない,,非US実績なし
BEASTARS Season1 Vol.1 -4 First Limited Edition DVD Disc Complete Set BOX Japan,358139797578,398.0,A,unknown,出さない,,非US実績なし
KYORITSU 3148A Digital Insulation Resistance Tester 2-Range Compact Megohmmeter,358247895475,398.0,E,unknown,出さない,,非US実績なし
SHARP PC-G850VS Pocket Computer Tested w/manual IN BOX Japan,357218290164,398.0,B,mixed_global,出さない,,非US実績なし
PSL nwm ONE Star Wars Edition Rebel Alliance Model Light Gray Japan Only,358307202870,398.0,E,unknown,出さない,,非US実績なし
PSL nwm ONE Star Wars Edition Imperial Model Dark Gray Japan Only,358307209173,398.0,E,unknown,出さない,,非US実績なし
ADVANTEST R6144 Programmable DC Voltage Current Generator Tested Working Japan,358135970035,398.0,D,mixed_global,優先国,"DE,FR",DE:7 FR:2
Hakko A1523 Heater Core FR-802 FR-803 100V Genuine Discontinued Japan,358646776716,398.0,E,unknown,出さない,,非US実績なし
Tektronix TCPA300 Current Probe Amplifier Tested & Excellent Condition from JPN,358120722222,396.0,C,global_only,優先国,"DE,AU",DE:3 AU:1
